,pl_orbper,pl_orbpererr1,pl_orbpererr2,pl_orbperlim,pl_orbsmax,pl_orbsmaxlim,pl_rade,pl_radeerr1,pl_radeerr2,pl_radelim,pl_radj,pl_radjerr1,pl_radjerr2,pl_radjlim,pl_bmasse,pl_bmasselim,pl_bmassj,pl_bmassjlim,pl_orbeccen,pl_orbeccenlim,pl_insol,pl_insolerr1,pl_insolerr2,pl_insollim,pl_eqt,pl_eqtlim
2196,8.40691199,2.698e-05,-2.698e-05,0.0,0.0781,0.0,1.16,0.1,-0.08,0.0,0.10300000000000001,0.009000000000000001,-0.006999999999999999,0.0,1.65,0.0,0.00521,0.0,0.0,0.0,75.56,1.58,-1.55,0.0,1048.0,0.0
2197,3.95116882,1.633e-05,-1.633e-05,0.0,0.0479,0.0,0.76,0.11,-0.08,0.0,0.068,0.01,-0.006999999999999999,0.0,0.363,0.0,0.00114,0.0,0.0,0.0,518.44,13.72,-13.36,0.0,1160.0,0.0
2198,2.89223021,1.472e-05,-1.472e-05,0.0,0.0389,0.0,0.65,0.09,-0.06,0.0,0.057999999999999996,0.008,-0.005,0.0,0.208,0.0,0.00065,0.0,0.0,0.0,786.08,20.8,-20.25,0.0,1287.0,0.0
2199,5.99273738,2.26e-05,-2.26e-05,0.0,0.0632,0.0,0.87,0.12,-0.09,0.0,0.078,0.011000000000000001,-0.008,0.0,0.59,0.0,0.00186,0.0,0.0,0.0,297.81,7.88,-7.67,0.0,1010.0,0.0
2200,5.10115756,2.409e-05,-2.409e-05,0.0,0.0567,0.0,0.76,0.1,-0.08,0.0,0.068,0.009000000000000001,-0.006999999999999999,0.0,0.363,0.0,0.00114,0.0,0.0,0.0,370.0,9.79,-9.53,0.0,1065.0,0.0
2201,6.96710269,3.285e-05,-3.285e-05,0.0,0.0867,0.0,2.71,1.21,-0.51,0.0,0.242,0.10800000000000001,-0.045,0.0,7.8,0.0,0.0245,0.0,0.0,0.0,375.65,13.71,-13.21,0.0,1774.0,0.0
2202,168.811174,0.001271,-0.001271,0.0,0.5421,0.0,1.78,0.09,-0.07,0.0,0.159,0.008,-0.006,0.0,3.82,0.0,0.012,0.0,0.0,0.0,0.83,0.02,-0.02,0.0,269.0,0.0
2203,163.692349,0.001383,-0.001383,0.0,0.5442,0.0,2.7,0.22,-0.18,0.0,0.24100000000000002,0.02,-0.016,0.0,7.75,0.0,0.0244,0.0,0.0,0.0,1.41,0.06,-0.06,0.0,274.0,0.0
2204,19.5974971,0.00014069999999999998,-0.00014069999999999998,0.0,0.1366,0.0,3.13,0.58,-0.34,0.0,0.27899999999999997,0.052000000000000005,-0.03,0.0,9.96,0.0,0.0313,0.0,0.0,0.0,36.3,2.36,-2.19,0.0,671.0,0.0
2205,0.69297968,1.49e-06,-1.49e-06,0.0,0.0165,0.0,0.9,0.28,-0.12,0.0,0.08,0.025,-0.011000000000000001,0.0,0.6659999999999999,0.0,0.0021,0.0,0.0,0.0,5760.94,149.8,-145.5,0.0,3186.0,0.0
2206,124.828679,0.001524,-0.001524,0.0,0.4679,0.0,2.64,0.54,-0.21,0.0,0.23600000000000002,0.048,-0.019,0.0,7.46,0.0,0.0235,0.0,0.0,0.0,1.93,0.11,-0.1,0.0,350.0,0.0
2207,214.886545,0.003111,-0.003111,0.0,0.6687,0.0,2.57,0.22,-0.2,0.0,0.22899999999999998,0.02,-0.018000000000000002,0.0,7.13,0.0,0.0224,0.0,0.0,0.0,1.18,0.06,-0.06,0.0,286.0,0.0
2208,5.9311940000000005,8e-06,-8e-06,0.0,0.056,0.0,2.09,0.21,-0.21,0.0,0.18600000000000005,0.019,-0.019,0.0,5.02,0.0,0.0158,0.0,0.0,0.0,23.5,4.7,-4.67,0.0,614.0,0.0
