,st_teff,st_tefferr1,st_tefferr2,st_tefflim,st_rad,st_raderr1,st_raderr2,st_radlim,st_mass,st_masserr1,st_masserr2,st_masslim,st_met,st_meterr1,st_meterr2,st_metlim,st_logg,st_loggerr1,st_loggerr2,st_logglim
3565,5521.0,66.78,-52.89,0.0,0.89,0.04,-0.03,0.0,0.93,0.03,-0.04,0.0,0.01,0.102,-0.10300000000000001,0.0,4.51,0.03,-0.05,0.0
3566,5411.49,35.87,-35.87,0.0,0.87,0.28,-0.26,0.0,0.94,0.07,-0.05,0.0,-0.03,0.034,-0.034,0.0,4.53,0.17,-0.14,0.0
3567,5674.0,74.62,-83.91,0.0,1.32,0.28,-0.26,0.0,1.0,0.07,-0.05,0.0,0.07,0.08800000000000001,-0.062,0.0,4.19,0.17,-0.14,0.0
3568,4739.0,115.49,-69.98,0.0,0.71,0.02,-0.03,0.0,0.77,0.03,-0.04,0.0,-0.02,0.131,-0.133,0.0,4.62,0.02,-0.02,0.0
3569,4838.0,59.77,-45.6,0.0,0.74,0.01,-0.01,0.0,0.81,0.02,-0.03,0.0,0.09,0.106,-0.10300000000000001,0.0,4.61,0.01,-0.01,0.0
3570,4248.0,40.9,-33.57,0.0,0.62,0.02,-0.02,0.0,0.65,0.03,-0.02,0.0,-0.09,0.105,-0.081,0.0,4.67,0.01,-0.01,0.0
3571,6159.0,129.54,-186.01,0.0,1.23,0.39,-0.17,0.0,1.16,0.13,-0.1,0.0,0.05,0.126,-0.155,0.0,4.32,0.1,-0.19,0.0
3572,5870.0,204.63,-120.74,0.0,1.02,0.2,-0.11,0.0,1.01,0.09,-0.07,0.0,-0.06,0.138,-0.19899999999999998,0.0,4.42,0.08,-0.13,0.0
3573,6174.0,83.0,-117.0,0.0,1.3,0.03,-0.03,0.0,1.17,0.04,-0.04,0.0,-0.073,0.062,-0.009000000000000001,0.0,4.27,0.01,-0.01,0.0
3574,6174.0,83.0,-117.0,0.0,1.3,0.03,-0.03,0.0,1.17,0.04,-0.04,0.0,-0.073,0.062,-0.009000000000000001,0.0,4.27,0.01,-0.01,0.0
3575,6174.0,83.0,-117.0,0.0,1.3,0.03,-0.03,0.0,1.17,0.04,-0.04,0.0,-0.073,0.062,-0.009000000000000001,0.0,4.27,0.01,-0.01,0.0
3576,6174.0,83.0,-117.0,0.0,1.3,0.03,-0.03,0.0,1.17,0.04,-0.04,0.0,-0.073,0.062,-0.009000000000000001,0.0,4.27,0.01,-0.01,0.0
3577,5208.0,139.26,-114.14,0.0,0.8,0.05,-0.05,0.0,0.84,0.04,-0.05,0.0,-0.05,0.141,-0.165,0.0,4.56,0.03,-0.06,0.0
3578,6383.0,218.04,-160.88,0.0,1.47,0.61,-0.25,0.0,1.3,0.21,-0.12,0.0,0.06,0.135,-0.142,0.0,4.21,0.12,-0.24,0.0
3579,5971.0,136.24,-175.96,0.0,1.12,0.28,-0.13,0.0,1.09,0.09,-0.07,0.0,0.08,0.14400000000000002,-0.146,0.0,4.38,0.08,-0.17,0.0
3580,5745.0,145.41,-198.84,0.0,0.97,0.2,-0.1,0.0,0.98,0.07,-0.07,0.0,0.0,0.134,-0.18600000000000005,0.0,4.46,0.07,-0.15,0.0
3581,5839.0,74.39,-64.99,0.0,1.38,0.34,-0.22,0.0,1.19,0.11,-0.07,0.0,0.34,0.055,-0.053,0.0,4.23,0.13,-0.15,0.0
3582,5631.0,83.2,-75.42,0.0,0.96,0.1,-0.07,0.0,0.94,0.04,-0.04,0.0,-0.02,0.09699999999999999,-0.107,0.0,4.45,0.07,-0.08,0.0
3583,5475.0,79.05,-84.69,0.0,1.09,0.3,-0.18,0.0,0.93,0.04,-0.04,0.0,0.09,0.08900000000000001,-0.075,0.0,4.33,0.16,-0.2,0.0
3584,5680.0,292.15,-205.19,0.0,0.95,0.18,-0.09,0.0,0.96,0.1,-0.07,0.0,-0.02,0.14,-0.172,0.0,4.47,0.07,-0.12,0.0
3585,6224.0,124.3,-142.87,0.0,1.29,0.56,-0.18,0.0,1.19,0.18,-0.09,0.0,0.03,0.128,-0.155,0.0,4.29,0.11,-0.25,0.0
3586,5681.0,116.48,-90.98,0.0,0.93,0.12,-0.07,0.0,0.95,0.05,-0.06,0.0,-0.07,0.158,-0.19,0.0,4.49,0.06,-0.11,0.0
3587,6213.0,150.0,-150.0,0.0,1.49,0.05,-0.06,0.0,1.21,0.07,-0.06,0.0,-0.055,0.03,-0.03,0.0,4.17,0.03,-0.03,0.0
3588,4540.0,100.0,-100.0,0.0,0.68,0.02,-0.02,0.0,0.73,0.03,-0.03,0.0,0.04,0.08,-0.08,0.0,4.64,0.01,-0.01,0.0
3589,4540.0,100.0,-100.0,0.0,0.68,0.02,-0.02,0.0,0.73,0.03,-0.03,0.0,0.04,0.08,-0.08,0.0,4.64,0.01,-0.01,0.0
3590,4540.0,100.0,-100.0,0.0,0.68,0.02,-0.02,0.0,0.73,0.03,-0.03,0.0,0.04,0.08,-0.08,0.0,4.64,0.01,-0.01,0.0
3591,4540.0,100.0,-100.0,0.0,0.68,0.02,-0.02,0.0,0.73,0.03,-0.03,0.0,0.04,0.08,-0.08,0.0,4.64,0.01,-0.01,0.0
3592,4540.0,100.0,-100.0,0.0,0.68,0.02,-0.02,0.0,0.73,0.03,-0.03,0.0,0.04,0.08,-0.08,0.0,4.64,0.01,-0.01,0.0
3593,4540.0,100.0,-100.0,0.0,0.68,0.02,-0.02,0.0,0.83,0.03,-0.03,0.0,0.04,0.08,-0.08,0.0,4.64,0.01,-0.01,0.0
3594,5315.0,60.48,-67.05,0.0,0.82,0.06,-0.06,0.0,0.85,0.04,-0.05,0.0,-0.09,0.158,-0.18,0.0,4.55,0.04,-0.08,0.0
3595,4435.0,45.95,-38.89,0.0,0.63,0.03,-0.02,0.0,0.67,0.03,-0.03,0.0,-0.17,0.09300000000000001,-0.094,0.0,4.66,0.02,-0.02,0.0
3596,5507.0,61.6,-67.23,0.0,0.9,0.12,-0.05,0.0,0.93,0.04,-0.05,0.0,0.06,0.157,-0.17600000000000002,0.0,4.5,0.05,-0.12,0.0
3597,5919.0,99.49,-100.93,0.0,1.12,0.16,-0.11,0.0,1.05,0.05,-0.05,0.0,0.02,0.085,-0.092,0.0,4.36,0.09,-0.11,0.0
3598,5817.0,93.12,-78.6,0.0,1.05,0.13,-0.09,0.0,1.01,0.04,-0.04,0.0,0.0,0.09,-0.10400000000000001,0.0,4.4,0.07,-0.1,0.0
3599,5817.0,93.12,-78.6,0.0,1.05,0.13,-0.09,0.0,1.01,0.04,-0.04,0.0,0.0,0.09,-0.10400000000000001,0.0,4.4,0.07,-0.1,0.0
3600,6112.0,55.03,-66.37,0.0,1.65,0.06,-0.05,0.0,1.19,0.07,-0.04,0.0,-0.06,0.08199999999999999,-0.067,0.0,4.08,0.02,-0.02,0.0
3601,5770.0,59.8,-67.82,0.0,1.16,0.34,-0.18,0.0,0.99,0.07,-0.06,0.0,0.0,0.07,-0.149,0.0,4.3,0.14,-0.19,0.0
3602,5965.0,92.34,-92.14,0.0,1.06,0.2,-0.11,0.0,1.04,0.07,-0.07,0.0,-0.04,0.149,-0.187,0.0,4.41,0.08,-0.14,0.0
3603,4653.0,51.38,-57.3,0.0,0.71,0.02,-0.04,0.0,0.76,0.03,-0.05,0.0,0.05,0.154,-0.207,0.0,4.62,0.02,-0.01,0.0
3604,5734.0,78.27,-78.23,0.0,0.98,0.18,-0.08,0.0,0.99,0.04,-0.05,0.0,0.04,0.135,-0.152,0.0,4.45,0.06,-0.15,0.0
3605,4385.0,49.1,-36.59,0.0,0.59,0.03,-0.03,0.0,0.64,0.38,-0.23,0.0,-0.18,0.1,-0.1,0.0,4.7,0.2,-0.2,0.0
3606,4385.0,49.1,-36.59,0.0,0.59,0.03,-0.03,0.0,0.64,0.38,-0.23,0.0,-0.18,0.1,-0.1,0.0,4.7,0.2,-0.2,0.0
